,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
43,2024-02-13,8:00p,REG,Valparaiso,,False,MVC,-8.25,W,87,64,3,1,True,1,0,36,64,0.563,12,25,0.48,13,15,0.867,9,36,17,3,3,8,21,24,57,0.421,1,10,0.1,19,28,0.679,9,26,7,5,5,11,12
44,2024-02-17,8:00p,REG,Southern,,False,SWAC,-8.74,W,88,60,4,1,True,2,0,24,50,0.48,5,20,0.25,32,36,0.889,4,30,9,2,4,7,22,26,63,0.413,4,18,0.222,24,29,0.828,11,35,9,3,4,6,25
45,2024-02-21,9:00p,REG,Western Illinois,,False,OVC,-8.75,W,84,52,5,1,True,3,0,31,64,0.484,9,24,0.375,18,27,0.667,15,43,15,4,2,18,17,35,65,0.538,8,18,0.444,12,20,0.6,5,23,15,11,6,6,19
46,2024-02-24,4:00p,REG,Rutgers,,False,Big Ten,7.41,W,76,58,6,1,False,4,0,31,63,0.492,10,27,0.37,23,30,0.767,13,37,16,7,1,9,17,30,63,0.476,4,12,0.333,21,25,0.84,10,30,13,6,3,11,21
47,2024-02-28,6:30p,REG,Florida Atlantic,,False,AAC,13.26,W,98,89,7,1,False,5,0,38,62,0.613,10,22,0.455,19,25,0.76,12,31,14,2,1,4,16,36,60,0.6,14,20,0.7,11,16,0.688,7,21,14,1,1,5,19
48,2024-03-02,12:00p,REG,Tennessee,,False,SEC,21.81,L,79,86,7,2,False,0,1,29,56,0.518,9,16,0.563,24,30,0.8,8,29,9,3,4,8,18,30,60,0.5,6,16,0.375,17,23,0.739,8,28,10,4,2,8,24
49,2024-03-05,1:00p,REG,Colgate,,False,Patriot,-0.31,W,74,57,8,2,True,1,0,25,55,0.455,4,16,0.25,17,21,0.81,10,27,9,7,1,12,15,29,60,0.483,9,16,0.563,10,14,0.714,10,29,20,5,2,8,17
50,2024-03-10,9:00p,REG,Missouri,,False,SEC,3.27,W,97,73,9,2,False,2,0,28,63,0.444,5,16,0.313,12,20,0.6,10,47,9,2,5,11,13,23,65,0.354,7,21,0.333,8,13,0.615,2,31,15,5,7,5,16
51,2024-03-15,9:00p,REG,FDU,,False,NEC,-14.41,W,104,71,10,2,True,3,0,26,62,0.419,4,15,0.267,21,32,0.656,14,36,12,2,4,10,13,30,66,0.455,4,15,0.267,10,13,0.769,13,38,15,6,5,10,27
52,2024-03-16,9:00p,REG,Northwestern,,False,Big Ten,12.77,W,96,66,11,2,True,4,0,32,69,0.464,13,35,0.371,21,26,0.808,13,39,18,3,3,9,18,32,69,0.464,8,27,0.296,15,21,0.714,8,31,14,5,1,8,19
53,2024-03-17,8:30p,REG,Purdue,,False,Big Ten,24.93,L,78,83,11,3,False,0,1,30,57,0.526,7,20,0.35,26,30,0.867,11,35,14,2,5,9,19,30,64,0.469,7,20,0.35,20,23,0.87,10,25,17,7,1,7,20
54,2024-03-21,9:00p,REG,Michigan State,,False,Big Ten,17.72,W,71,68,12,3,True,1,0,32,59,0.542,12,26,0.462,9,12,0.75,9,36,24,5,7,9,9,26,65,0.4,11,30,0.367,6,8,0.75,6,25,14,7,0,6,13
55,2024-03-23,2:00p,REG,Maryland,,False,Big Ten,10.60,L,67,76,12,4,True,0,1,35,59,0.593,7,21,0.333,12,17,0.706,10,31,17,6,1,7,12,25,61,0.41,5,17,0.294,8,10,0.8,12,25,14,4,1,9,17
56,2024-03-28,8:30p,REG,Michigan,,False,Big Ten,5.28,W,88,73,13,4,False,1,0,24,57,0.421,9,29,0.31,15,29,0.517,12,37,16,8,2,11,18,23,58,0.397,6,13,0.462,17,21,0.81,5,32,9,11,3,9,23
57,2024-03-30,1:00p,REG,Rutgers,,False,Big Ten,7.41,W,86,63,14,4,True,2,0,17,67,0.254,6,23,0.261,12,17,0.706,7,27,7,3,4,7,15,31,60,0.517,3,17,0.176,12,17,0.706,7,40,21,5,10,7,17
